Produktivitas;Kantor cabang;Jumlah
Tier 1;Ampera;0
Tier 2;Ampera;2
Tier 3;Ampera;2
Tier 4;Ampera;5
Tier 1;Bekasi;4
Tier 2;Bekasi;5
Tier 3;Bekasi;2
Tier 4;Bekasi;2
Tier 1;Bekasi Harapan Indah;0
Tier 2;Bekasi Harapan Indah;0
Tier 3;Bekasi Harapan Indah;3
Tier 4;Bekasi Harapan Indah;8
Tier 1;BEKASI SILIWANGI;2
Tier 2;BEKASI SILIWANGI;2
Tier 3;BEKASI SILIWANGI;4
Tier 4;BEKASI SILIWANGI;3
Tier 1;Bogor;4
Tier 2;Bogor;4
Tier 3;Bogor;2
Tier 4;Bogor;4
Tier 1;Bogor Pajajaran;4
Tier 2;Bogor Pajajaran;3
Tier 3;Bogor Pajajaran;5
Tier 4;Bogor Pajajaran;9
Tier 1;Menara Brilian;1
Tier 2;Menara Brilian;1
Tier 3;Menara Brilian;4
Tier 4;Menara Brilian;0
Tier 1;BURSA EFEK INDONESIA;0
Tier 2;BURSA EFEK INDONESIA;0
Tier 3;BURSA EFEK INDONESIA;4
Tier 4;BURSA EFEK INDONESIA;2
Tier 1;Cibinong;2
Tier 2;Cibinong;3
Tier 3;Cibinong;3
Tier 4;Cibinong;6
Tier 1;Cibubur;1
Tier 2;Cibubur;3
Tier 3;Cibubur;7
Tier 4;Cibubur;7
Tier 1;Cikampek;0
Tier 2;Cikampek;1
Tier 3;Cikampek;2
Tier 4;Cikampek;4
Tier 1;Cikarang;3
Tier 2;Cikarang;1
Tier 3;Cikarang;5
Tier 4;Cikarang;4
Tier 1;Cimanggis;1
Tier 2;Cimanggis;0
Tier 3;Cimanggis;6
Tier 4;Cimanggis;4
Tier 1;Depok;5
Tier 2;Depok;5
Tier 3;Depok;3
Tier 4;Depok;4
Tier 1;Fatmawati;0
Tier 2;Fatmawati;4
Tier 3;Fatmawati;3
Tier 4;Fatmawati;5
Tier 1;Gatot Subroto;7
Tier 2;Gatot Subroto;4
Tier 3;Gatot Subroto;3
Tier 4;Gatot Subroto;5
Tier 1;Kalimalang;8
Tier 2;Kalimalang;0
Tier 3;Kalimalang;0
Tier 4;Kalimalang;0
Tier 1;Karawang;2
Tier 2;Karawang;3
Tier 3;Karawang;1
Tier 4;Karawang;5
Tier 1;Kebayoran Baru;8
Tier 2;Kebayoran Baru;5
Tier 3;Kebayoran Baru;7
Tier 4;Kebayoran Baru;4
Tier 1;Kramat Jati;3
Tier 2;Kramat Jati;1
Tier 3;Kramat Jati;3
Tier 4;Kramat Jati;4
Tier 1;LEBAK BULUS;0
Tier 2;LEBAK BULUS;2
Tier 3;LEBAK BULUS;2
Tier 4;LEBAK BULUS;4
Tier 1;Mabes TNI Cilangkap;0
Tier 2;Mabes TNI Cilangkap;2
Tier 3;Mabes TNI Cilangkap;2
Tier 4;Mabes TNI Cilangkap;2
Tier 1;OTISTA;8
Tier 2;OTISTA;1
Tier 3;OTISTA;0
Tier 4;OTISTA;0
Tier 1;Pancoran;1
Tier 2;Pancoran;1
Tier 3;Pancoran;5
Tier 4;Pancoran;3
Tier 1;Panglima Polim;0
Tier 2;Panglima Polim;1
Tier 3;Panglima Polim;3
Tier 4;Panglima Polim;5
Tier 1;Pasar Minggu;2
Tier 2;Pasar Minggu;2
Tier 3;Pasar Minggu;4
Tier 4;Pasar Minggu;4
Tier 1;Pondok Gede;0
Tier 2;Pondok Gede;1
Tier 3;Pondok Gede;5
Tier 4;Pondok Gede;7
Tier 1;Pondok Indah;1
Tier 2;Pondok Indah;4
Tier 3;Pondok Indah;3
Tier 4;Pondok Indah;2
Tier 1;Radio Dalam;0
Tier 2;Radio Dalam;1
Tier 3;Radio Dalam;5
Tier 4;Radio Dalam;1
Tier 1;RAWAMANGUN;11
Tier 2;RAWAMANGUN;3
Tier 3;RAWAMANGUN;0
Tier 4;RAWAMANGUN;1
Tier 1;Tambun;0
Tier 2;Tambun;1
Tier 3;Tambun;6
Tier 4;Tambun;4
Tier 1;Tanjung Priok;11
Tier 2;Tanjung Priok;0
Tier 3;Tanjung Priok;0
Tier 4;Tanjung Priok;0
Tier 1;TB Simatupang;0
Tier 2;TB Simatupang;1
Tier 3;TB Simatupang;6
Tier 4;TB Simatupang;4
Tier 1;Warung Buncit;2
Tier 2;Warung Buncit;5
Tier 3;Warung Buncit;3
Tier 4;Warung Buncit;4
